Bus Name (English),Station 1,Station 2,Station 3,Station 4,Station 5,Station 6,Station 7,Station 8,Station 9,Station 10,Station 11,Station 12,Station 13,Station 14,Station 15,Station 16,Station 17,Station 18,Station 19,Station 20,Station 21,Station 22,Station 23,Station 24,Station 25,Station 26,Station 27,Station 28,Station 29,Station 30,Station 31,Station 32,Station 33,Station 34,Station 35,Station 36,Station 37
Achim Paribahan Bus Route,Gabtoli,Technical,Ansar Camp,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Jamuna Future Park,Bashundhara,Nadda,Notun Bazar,Bashtola,Shahjadpur,Uttar Badda,Badda Link Road),Madhya Badda,Merul Badda,Rampura Bridge,Banasree,Demra Staff Quarter,,,,,,,,,,
Active Paribahan Bus Route,Mohammadpur Shia Mosque,Adabor,Shyamoli,Technical,Ansar Camp,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara,Rajlakshmi,Azampur,House Building,Abdullahpur,,,,,,,,,,,,,,
Agradut Bus Route,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,Agargaon,Zia Uddyan,Bijoy Sarani,Jahangir Gate,Mohakhali,Wireless,Gulshan 1,Badda Link Road,Bashtola,Shahjadpur,Uttar Badda,Notun Bazar,,,,,,,,,,,,,,,,,
Airport Bangabandhu Avenue Paribahan Bus Route,Fulbaria,Golap Shah Mazar,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Bijoy Sarani,Jahangir Gate,Mohakhali,Chairman Bari,Sainik Club,Banani,Kakoli,Staff Road,MES,Kurmitola,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara Jashimuddin,Rajlakshmi,House Building,Abdullahpur,,,,,,,,
Azmeri Glory Limited Bus Route,Sadarghat Victoria Park ,Ray Saheb Bazar,Naya Bazar,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibagh,Mouchak,Nabisco,Mohakhali,Sainik Club,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Bypass,Konabari,Chandra,,,,
Ajmi Bus Route,Dhamrai,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Dhanmondi 27,Dhanmondi 32,Kalabagan,City College,New Market,Nilkhet,Azimpur,Bakshi Bazar,Gulistan,Chittagong Road,,,,,,,,,,,,,,,,
Akash Bus Route,Kadamtali,Keraniganj,Babubazar,Naya Bazar,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibagh,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Merul Badda,Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara Jashimuddin,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,,,,,,
Akik Bus Route,Ansar Camp,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Jamuna Future Park,Bashundhara,Nadda,Notun Bazar,Bashtola,Shahjadpur,Uttar Badda,,,,,,,,,,,,,,,,,,
Al Makka Bus Route,Motijheel,Gulistan,GPO,Paltan,Kakrail,Shantinagar,Malibagh,Mouchak,Mogbazar,Nabisco,Mohakhali,Chairman Bari,Kakoli,Banani,ECB Square,Kalshi,Purobi,Mirpur 10,Mirpur 2,Mirpur 1,,,,,,,,,,,,,,,,,
Al Madina Plus One Bus Route,Nandan Park,Zirani Bazar,Baipail,Nobinagar,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,Kamalapur,,,,,,,,,,,
Alif Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Mazar Road,Konabari,Rupnagar,Beribadh,Birulia,Ashulia Bazar,Zirabo,Fantasy Kingdom,Nandan Park,,,,,,,,,,,,,,,,,,,,,,,
Alif Bus Route,Mohammadpur Shia Mosque,Japan Garden City,Adabor,Shyamoli,Shishu Mela,Agargaon,Zia Uddyan,Bijoy Sarani,Jahangir Gate,Mohakhali,Wireless,Gulshan 1,Badda Link Road,Madhya Badda,Merul Badda,Rampura Bridge,Banasree,,,,,,,,,,,,,,,,,,,,
Alif Bus Route,Mirpur 1,Mirpur 2,Mirpur 10,Kazipara,Shewrapara,Agargaon,Bijoy Sarani,Jahangir Gate,Mohakhali,Wireless,Gulshan 1,Badda Link Road,Madhya Badda,Merul Badda,Rampura Bridge,Banasree,,,,,,,,,,,,,,,,,,,,,
Alif Bus Route,Japan Garden City,Ring Road,Adabor,Shyamoli,Shishu Mela,Agargaon,Zia Uddyan,Bijoy Sarani,Abdullahpur,Jahangir Gate,Mohakhali,Chairman Bari,Sainik Club,Kakoli,Banani,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara Jashimuddin,Rajlakshmi,Azampur,House Building,Abdullahpur,,,,,,,,,,,
Anabil Super Bus Route,Sign Board,Shanir Akhra,Jatrabari,Mugda,Bashabo,Khilgaon,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Uttar Badda,Shahjadpur,Nadda,Bashtola,Notun Bazar,Nadda,Khilkhet,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Uttara ,Airport,Uttara Jashimuddin,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Bypass,Gazipur Chowrasta,,
Arnob Bus Route,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,Agargaon,Zia Uddyan,Bijoy Sarani,Jahangir Gate,Mohakhali,Wireless,Abdullahpur,Badda Link Road,Madhya Badda,Merul Badda,Rampura Bridge,Banasree,Demra Staff Quarter,,,,,,,,,,,,,,,,,
Ashirbad Pahibahan Bus Route,Duairipara,Rupnagar Abashik,Shiyal Bari,Proshika Moor,Mirpur 2,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Dhanmondi 27,Shukrabad,Dhanmondi 32,Kalabagan,City College,New Market,Nilkhet,Azimpur,,,,,,,,,,,,,,,,
Ashulia Classic Bus Route,Nobinagar,Baipail,Jamgora,Fantasy Kingdom,Zirabo,Ashulia Bazar,Kamarpara,Abdullahpur,House Building,Azampur,Rajlakshmi,Uttara ,Airport,Khilkhet,Kuril Bishwaroad,Shewra,MES,Kakoli,Banani,Chairman Bari,Mohakhali,Nabisco,Satrasta,,,,,,,,,,,,,,
Asmani Bus Route,Dhour,Abdullahpur,House Building,Azampur,Rajlakshmi,Uttara ,Airport,Khilkhet,Kuril Bishwaroad,Jamuna Future Park,Bashundhara,Nadda,Notun Bazar,Bashtola,Shahjadpur,Uttar Badda,Badda,Madhya Badda,Merul Badda,Rampura Bridge,Banasree,Demra Staff Quarter,Tarabo,Madanpur,,,,,,,,,,,,,
ATCL Bus Route,Mohammadpur,Asad Gate,Shukrabad,Kalabagan,City College,Science Lab,Katabon,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Arambagh,,,,,,,,,,,,,,,,,,,,,
Ayat Bus Route,Chiriyakhana,Sony Cinema Hall,Mirpur 2,Mirpur 10,Kazipara,Shewrapara,Taltola,Agargaon,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Mogbazar,Mouchak,Malibaag Moor,Rajarbag,Kamalapur,,,,,,,,,,,,,,,,,,,,
Bahon Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Mirpur 1,Ansar Camp,Bangla College,Technical,Darussalam,Kallyanpur,Shyamoli,Asad Gate,Dhanmondi 27,Dhanmondi 32,Kalabagan,Science Lab,Katabon,Shahbag,High Court,Press Club,Paltan,Dainik Bangla Moor,Motijheel,Arambagh,Kamalapur,Mugda,Bashabo,Khilgaon,,,,,,,,,,
Baishakhi Bus Route,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,Agargaon,Bijoy Sarani,Jahangir Gate,Mohakhali,Gulshan 1,Badda Link Road,Bashtola,Uttar Badda,Notun Bazar,,,,,,,,,,,,,,,,,,,,
Balaka Bus Route,Sayedabad,Maniknagar,TT Para,Kamalapur,Malibaag Moor,Mouchak,Mogbazar,Satrasta,Nabisco,Mohakhali,Chairman Bari,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Bypass,Gazipur Chowrasta,,,,,,,
Basumati Bus Route,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Manik Mia Avenue,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Golap Shah Mazar,Naya Bazar,Babubazar,Keraniganj,Maowa,,,,,,,,,,,,,,
Basumati Transport Bus Route,Gabtoli,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Chowrasta,,,,,,,,,,,,,
