From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
300 Feet,Bashundhara 300 Feet Gate,4.7,12,,,,,,,,,,,,,,,
300 Feet,Bhulta,14.1,35,,,,,,,,,,,,,,,
300 Feet,Kanchan Bridge,7,17,,,,,,,,,,,,,,,
300 Feet,Kuril Bishwaroad,6,15,,,,,,,,,,,,,,,
300 Feet,Nila Market,0.5,10,,,,,,,,,,,,,,,
Abdullahpur,Airport,3.7,10,,,,,,,,,,,,,,,
Abdullahpur,Asad Gate,22.3,55,,,,,,,,,,,,,,,
Abdullahpur,Ashulia,9,22,,,,,,,,,,,,,,,
Abdullahpur,Azampur,0.7,10,,,,,,,,,,,,,,,
Abdullahpur,Babubazar Bridge,22.5,55,,,,,,,,,,,,,,,
Abdullahpur,Badda,12.2,30,,,,,,,,,,,,,,,
Abdullahpur,Baipail,17.7,43,,,,,,,,,,,,,,,
Abdullahpur,Bashabo,18.1,44,,,,,,,,,,,,,,,
Abdullahpur,Bishwaroad,6.7,16,,,,,,,,,,,,,,,
Abdullahpur,Board Bazar,7.8,19,,,,,,,,,,,,,,,
Abdullahpur,Bosila Bridge,25.3,62,,,,,,,,,,,,,,,
Abdullahpur,Dhour,5.5,13,,,,,,,,,,,,,,,
Abdullahpur,Diabari Moor,16.5,40,,,,,,,,,,,,,,,
Abdullahpur,Fantasy Kingdom,15.2,37,,,,,,,,,,,,,,,
Abdullahpur,Farmgate,15.4,38,,,,,,,,,,,,,,,
Abdullahpur,Gazipur,15,37,,,,,,,,,,,,,,,
Abdullahpur,Ghatar Char,28.1,69,,,,,,,,,,,,,,,
Abdullahpur,Jatrabari,22.5,55,,,,,,,,,,,,,,,
Abdullahpur,Kakoli,10.7,26,,,,,,,,,,,,,,,
Abdullahpur,Kakrail,18.9,46,,,,,,,,,,,,,,,
Abdullahpur,Kamarpara,2.2,10,,,,,,,,,,,,,,,
Abdullahpur,Kanchpur Bridge,33.1,81,,,,,,,,,,,,,,,
Abdullahpur,Keraniganj New Jail,29.8,73,,,,,,,,,,,,,,,
Abdullahpur,Khilkhet,6.5,16,,,,,,,,,,,,,,,
Abdullahpur,Kuril,7.3,18,,,,,,,,,,,,,,,
Abdullahpur,Kuril Bishwaroad,7.5,18,,,,,,,,,,,,,,,
Abdullahpur,Madanpur,33.4,82,,,,,,,,,,,,,,,
Abdullahpur,Malibagh,16.4,40,,,,,,,,,,,,,,,
Abdullahpur,Maniknagar,20.1,49,,,,,,,,,,,,,,,
Abdullahpur,Mazar Road,18.5,45,,,,,,,,,,,,,,,
Abdullahpur,Meradia Bazar,16.9,41,,,,,,,,,,,,,,,
Abdullahpur,Mirpur 1,17.3,42,,,,,,,,,,,,,,,
Abdullahpur,Mogbazar,16.7,41,,,,,,,,,,,,,,,
Abdullahpur,Mohakhali,12.5,31,,,,,,,,,,,,,,,
Abdullahpur,Mohamamdpur Bus Stand,23.8,58,,,,,,,,,,,,,,,
Abdullahpur,Nabinagar,19.2,47,,,,,,,,,,,,,,,
Abdullahpur,Nandan Park,28.9,71,,,,,,,,,,,,,,,
Abdullahpur,Notre Dame College,22.8,56,,,,,,,,,,,,,,,
Abdullahpur,Notun Bazar,10.1,25,,,,,,,,,,,,,,,
Abdullahpur,Paltan,20.5,50,,,,,,,,,,,,,,,
Abdullahpur,Fulbaria,21.1,52,,,,,,,,,,,,,,,
Abdullahpur,Press Club,19.6,48,,,,,,,,,,,,,,,
Abdullahpur,Rampura,14,34,,,,,,,,,,,,,,,
Abdullahpur,Rampura Bridge,13.9,34,,,,,,,,,,,,,,,
Abdullahpur,Sayedabad,21.5,53,,,,,,,,,,,,,,,
Abdullahpur,Shahbag,17.8,44,,,,,,,,,,,,,,,
Abdullahpur,Shyamoli,22.1,54,,,,,,,,,,,,,,,
Abdullahpur,Sign Board,27.5,67,,,,,,,,,,,,,,,
Abdullahpur,Staff Quarter,23.4,57,,,,,,,,,,,,,,,
Abdullahpur,Staff Road,8.7,21,,,,,,,,,,,,,,,
Abdullahpur,Sultana Kamal Bridge,25.4,62,,,,,,,,,,,,,,,
Abdullahpur,Tarabo,27.4,67,,,,,,,,,,,,,,,
Abdullahpur,Technical,20.5,50,,,,,,,,,,,,,,,
Abdullahpur,Tongi Bastuhara,5.1,12,,,,,,,,,,,,,,,
Abdullahpur,Zirabo,10.9,27,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Airport,24.7,61,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Babubazar,7.3,18,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Badda,16.1,39,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Chun Kutia Bazar,4.9,12,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Diabari,31.2,76,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Gulistan,8.7,21,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,House Building,27.5,67,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Kadamtali,5.6,14,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Kakrail,10.2,25,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Khilkhet,22,54,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Kuril Bishwaroad,20.2,49,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Malibagh,11.1,27,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Mouchak,11.4,28,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Notun Bazar,17.5,43,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Paltan,9.4,23,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Rajendrapur Bazar,0.7,10,,,,,,,,,,,,,,,
Abdullahpur Jailkhana,Rampura,13,32,,,,,,,,,,,,,,,
Abul Hotel,Abdullahpur,16,39,,,,,,,,,,,,,,,
Abul Hotel,Airport,12.1,30,,,,,,,,,,,,,,,
Abul Hotel,Azampur,14.5,36,,,,,,,,,,,,,,,
Abul Hotel,Dhour,18.5,45,,,,,,,,,,,,,,,
Abul Hotel,Kuril Bishwaroad,7.5,18,,,,,,,,,,,,,,,
Abul Hotel,Madhy Badda,3,10,,,,,,,,,,,,,,,
Abul Hotel,Notun Bazar,5,12,,,,,,,,,,,,,,,
Abul Hotel,TV Center,1,10,,,,,,,,,,,,,,,
Adabor,Abdullahpur,21.35,52,,,,,,,,,,,,,,,
Adabor,Agargaon,2.5,10,,,,,,,,,,,,,,,
Adabor,Airport,17.5,43,,,,,,,,,,,,,,,
Adabor,Ansar Camp,3.1,10,,,,,,,,,,,,,,,
Adabor,Asad Gate,2.2,10,,,,,,,,,,,,,,,
Adabor,Azampur,19.6,48,,,,,,,,,,,,,,,
Adabor,Badda Link Road,9.5,23,,,,,,,,,,,,,,,
Adabor,Banani,9.7,24,,,,,,,,,,,,,,,
Adabor,Banasree,14.2,35,,,,,,,,,,,,,,,
Adabor,Bata Signal,5.4,13,,,,,,,,,,,,,,,
Adabor,Bijoy Sarani,4.4,11,,,,,,,,,,,,,,,
Adabor,Chairman Bari,9,22,,,,,,,,,,,,,,,
Adabor,College Gate,1.4,10,,,,,,,,,,,,,,,
Adabor,Dayagonj,12,29,,,,,,,,,,,,,,,
Adabor,ECB Square,10.4,25,,,,,,,,,,,,,,,
Adabor,Fakirapul,8.9,22,,,,,,,,,,,,,,,
Adabor,Gulshan 1,8.5,21,,,,,,,,,,,,,,,
Adabor,House Building,20.7,51,,,,,,,,,,,,,,,
Adabor,Jahangir Gate,5.6,14,,,,,,,,,,,,,,,
Adabor,Japan Garden City,1.3,10,,,,,,,,,,,,,,,
Adabor,Kakoli,9.6,24,,,,,,,,,,,,,,,
Adabor,Kakrail,7.5,18,,,,,,,,,,,,,,,
Adabor,Kalabagan,3.8,10,,,,,,,,,,,,,,,
Adabor,Kalshi,8.7,21,,,,,,,,,,,,,,,
Adabor,Katabon,5.65,14,,,,,,,,,,,,,,,
Adabor,Kazipara,4.8,12,,,,,,,,,,,,,,,
Adabor,Khilkhet,14.6,36,,,,,,,,,,,,,,,
Adabor,Kuril Bishwaroad,13.3,33,,,,,,,,,,,,,,,
Adabor,MES,12,29,,,,,,,,,,,,,,,
Adabor,Madhya Badda,9.9,24,,,,,,,,,,,,,,,
Adabor,Merul Badda,10.6,26,,,,,,,,,,,,,,,
Adabor,Mirpur 1,4,10,,,,,,,,,,,,,,,
Adabor,Mirpur 10,5.8,14,,,,,,,,,,,,,,,
Adabor,Mirpur 11,6.8,17,,,,,,,,,,,,,,,
Adabor,Mirpur 2,5.2,13,,,,,,,,,,,,,,,
Adabor,Mohakhali,6.5,16,,,,,,,,,,,,,,,
